Designator,Mid X,Mid Y,Rotation,Layer
D1,154.8,-81.2,90.0,top
D2,173.8,-81.8,90.0,top
D3,192.9,-82.0,90.0,top
D4,154.7,-99.9,270.0,top
D5,154.8,-119.1,270.0,top
D6,173.7,-100.1,270.0,top
D7,173.8,-117.7,270.0,top
D8,193.0,-100.4,90.0,top
D9,193.0,-117.9,270.0,top
SW1,164.30625,-78.8725,0.0,top
SW10,198.178994,-56.833539,0.0,top
SW2,164.30625,-97.9225,0.0,top
SW3,164.30625,-116.9725,0.0,top
SW4,183.35625,-78.8725,0.0,top
SW5,183.35625,-97.9225,0.0,top
SW6,183.35625,-116.9725,0.0,top
SW7,202.40625,-78.8725,0.0,top
SW8,202.40625,-97.9225,0.0,top
SW9,202.40625,-116.9725,0.0,top
U1,165.6,-59.7,0.0,top
